ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
MYT,Mayotte,Mayotte,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000380B
NAM,Namibia,Namibia,AF,NULL,1990-04-23 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000380C
NCA,Northern Caribbean,Northern Caribbean,AM,NULL,1986-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000380D
NEC,New Caledonia,New Caledonia,WP,PIC,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B2
NEH,New Hebrides,New Hebrides,WP,NULL,1981-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000380F
NER,Niger,Niger,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003810
NEZ,New Zealand,New Zealand,WP,OECD,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038A9
NGA,Nigeria,Nigeria,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003812
NIC,Nicaragua,Nicaragua,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003813
NIS,Newly Independent S.,Newly Independent States,EU,NULL,1994-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003814
NIU,Niue,Niue,WP,PIC,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B3
NLD,Netherlands,Netherlands,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003816
NOR,Norway,Norway,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003817
NPL,Nepal,Nepal,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003818
NRU,Nauru,Nauru,WP,PIC,1977-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B4
OMN,Oman,Oman,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000381A
PAK,Pakistan,Pakistan,EM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000381B
PAN,Panama,Panama,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000381C
PCI,TT Pacific Islands,Trust Territory of the Pacific Islands,WP,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000381D
PCN,Pitcairn Island,Pitcairn Island,WP,PIC,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B5
PER,Peru,Peru,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000381F
PHL,Philippines,Philippines,WP,OTHERS,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C7
PHX,Phoenix Islands,Phoenix Islands,WP,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003821
PLW,Palau,Palau,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B6
PNG,Papua New Guinea,Papua New Guinea,WP,PIC,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B7
POL,Poland,Poland,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003824
PRI,Puerto Rico,Puerto Rico,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003825
PRK,Dem.P.Rep. of Korea,Democratic People's Republic of Korea,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003826
PRT,Portugal,Portugal,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003827
PRY,Paraguay,Paraguay,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003828
PSE,Palest. Terr. Occup.,"Palestinian Territory, Occupied",EM,NULL,1999-12-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003829
PYF,French Polynesia,French Polynesia,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B8
QAT,Qatar,Qatar,EM,NULL,1988-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000382B
REU,Reunion,Reunion,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000382C
RHO,Southern Rhodesia,Southern Rhodesia,AF,NULL,1981-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000382D
ROU,Romania,Romania,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000382E
RUS,Russian Federation,Russian Federation,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000382F
RWA,Rwanda,Rwanda,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003830
SAC,Santa Cruz Islands,Santa Cruz Islands,WP,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003831
SAU,Saudi Arabia,Saudi Arabia,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003832
SCG,Serbia and Montenegro,Serbia and Montenegro,EU,NULL,2006-06-03 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003833
SDN,Sudan,Sudan,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003834
SEE,South-East Europe,South-East Europe,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003835
SEN,Senegal,Senegal,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003836
SEU,South Europe,South Europe,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003837
SGP,Singapore,Singapore,WP,OTHERS,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C8
SGS,South Georgia,South Georgia,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003839
SHN,Saint Helena,Saint Helena,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000383A
